DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71726,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,170,"191,55",1024,9216,"27007797,00"
71650,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68167,CHARALA,68167000,VEREDA GRIMA ALTA,EN OPERACI�N,"6,30722000","-73,16611000",2019-12-15,2021-09-14,2020-07-31,2020-12-31,59,"107,44",1024,9216,"27007797,00"
71727,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-08,2021-09-07,2020-07-31,2020-12-31,251,"244,32",1024,9216,"27007797,00"
71714,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615002,VEREDA EL DIAMANTE,EN OPERACI�N,"7,42083000","-73,18917000",2019-12-09,2021-09-08,2020-10-31,2020-12-31,62,"159,93",1,9,"27007800,00"
71657,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68235,EL CARMEN DE CHUCURI,68235000,EL VERGEL,EN OPERACI�N,"6,66611000","-73,48083000",2019-12-09,2021-09-08,2020-07-31,2020-12-31,390,"294,47",1024,9216,"27007797,00"
71675,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68377,LA BELLEZA,68377005,LOS VALLES,EN OPERACI�N,"5,90305000","-74,07638000",2020-01-25,2021-10-24,2020-07-31,2020-12-31,132,"79,22",1024,9216,"27007797,00"
71735,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68720,SANTA HELENA DEL OPON,68720000,CORREGIMIENTO DE CACHIPAY,EN OPERACI�N,"6,29722000","-73,65000000",2019-12-10,2021-09-09,2020-10-31,2020-12-31,520,"268,81",1,9,"27007800,00"
71691,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68444,MATANZA,68444000,VEREDA EL AVENTINO,EN OPERACI�N,"7,29972000","-73,09778000",2019-12-12,2021-09-11,2020-07-31,2020-12-31,297,"268,72",1024,9216,"27007797,00"
71689,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68425,MACARAVITA,68425005,TIENDA NUEVA,EN OPERACI�N,"6,52194000","-72,59000000",2019-12-07,2021-09-06,2020-10-31,2020-12-31,100,"51,13",1,9,"27007800,00"
71718,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68684,SAN JOSE DE MIRANDA,68684000,VEREDA ANCHICUTA,EN OPERACI�N,"6,63806000","-72,71361000",2019-12-04,2021-09-03,2020-10-31,2020-12-31,93,"188,34",1,9,"27007800,00"
