FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,PRIORIZACION,ZONA,DIFICULTADACCESO,NOMBRE_CENTRO_POBLADO,TIPO_SITIO,TIPO_CONECTIVIDAD,NOMBRE_INSTITUCION_EDUCATIVA,NOMBRE_SEDE_EDUCATIVA,ESTADOS,TIPO_ENERGIA,DETALLE_SITIO,USUARIOS_ACTIVOS_MES,VELOCIDAD_CONEXION_SUBIDA,VELOCIDAD_CONEXION_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,INVERSION,META
2020-07-31,SANTANDER,BARICHARA,AUS,RURAL,BAJO,VEREDA GUANENTA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  GUANE,ESCUELA RURAL GUANENTA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,MATANZA,AUS,RURAL,BAJO,VEREDA EL AVENTINO,SEDES EDUCATIVAS,SATELITAL,COLEGIO   LIZCANO FLOREZ,ESCUELA RURAL EL AVENTINO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,BOLIVAR,NO APLICA,RURAL,SIN INFORMACION,LA MELONA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA GALLEGOS,ESCUELA RURAL LA MELONA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,GIRON,NO APLICA,RURAL,MEDIO,MARTA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA COLEGIO MARTA,INSTITUCION EDUCATIVA COLEGIO MARTA - SEDE PRINCIPAL,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CHARTA,NO APLICA,RURAL,MEDIO,CORREGIMIENTO DE PIRITA,SEDES EDUCATIVAS,SATELITAL,INSTITUTO AGRICOLA,ESCUELA RURAL PIRITA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SAN VICENTE DE CHUCURI,AUS,RURAL,BAJO,VEREDA CANTARRANAS,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  PALMIRA,ESCUELA RURAL CANTARRANAS II,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,EL CARMEN DE CHUCURI,NO APLICA,RURAL,SIN INFORMACION,VEREDA RANCHO GRANDE,SEDES EDUCATIVAS,SATELITAL,COLEGIO  SAN LUIS GONZAGA,ESCUELA RURAL RANCHO GRANDE I,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,PUERTO WILCHES,AUS,RURAL,BAJO,CHINGALE,SEDES EDUCATIVAS,SATELITAL,INSTITUTO AGROPECUARIO SAN PEDRO DE VIJAGUAL,ESCUELA RURAL CAMPO ALEGRE,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,RIONEGRO,AUS,RURAL,BAJO,VEREDA ALTO DE PEREZ,SEDES EDUCATIVAS,SATELITAL,COLEGIO  LLANO DE PALMAS,ESCUELA RURAL ALTO DE PEREZ,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,BETULIA,NO APLICA,RURAL,BAJO,SOL DE ORIENTE,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA EL RAMO,SEDE EL LIRIO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
