AÑO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2019,4,SANTANDER,VALLE DE SAN JOSE,28,6222,"0,0045"
2018,4,SANTANDER,SIMACOTA,87,10042,"0,0087"
2020,1,SANTANDER,LEBRIJA,1173,44169,"0,0266"
2019,4,SANTANDER,ONZAGA,18,4111,"0,0044"
2020,1,SANTANDER,CONCEPCION,122,5757,"0,0212"
2020,1,SANTANDER,CABRERA,14,2021,"0,0069"
2019,3,SANTANDER,CERRITO,113,6838,"0,0165"
2019,4,SANTANDER,LEBRIJA,1103,43145,"0,0256"
2019,4,SANTANDER,GUADALUPE,25,4473,"0,0056"
2019,4,SANTANDER,SANTA HELENA DEL OPON,14,3393,"0,0041"
2018,3,SANTANDER,OCAMONTE,47,5661,"0,0083"
2018,3,SANTANDER,CERRITO,103,6729,"0,0153"
2019,4,SANTANDER,CABRERA,15,1983,"0,0076"
2019,4,SANTANDER,JESUS MARIA,20,3337,"0,006"
2018,3,SANTANDER,BUCARAMANGA,149508,581130,"0,2573"
2019,1,SANTANDER,CONTRATACION,224,3683,"0,0608"
2020,1,SANTANDER,SANTA HELENA DEL OPON,13,3411,"0,0038"
2019,2,SANTANDER,HATO,33,2349,"0,014"
2019,2,SANTANDER,CONTRATACION,248,3683,"0,0673"
2018,4,SANTANDER,SOCORRO,3971,32158,"0,1235"
2019,2,SANTANDER,EL GUACAMAYO,66,2119,"0,0311"
2018,4,SANTANDER,PUERTO WILCHES,1612,32791,"0,0492"
2018,3,SANTANDER,GUACA,64,5916,"0,0108"
2018,4,SANTANDER,VETAS,26,2114,"0,0123"
2019,1,SANTANDER,SAN BENITO,40,2957,"0,0135"
2019,3,SANTANDER,CONFINES,41,3233,"0,0127"
2019,2,SANTANDER,SAN ANDRES,170,8613,"0,0197"
2019,2,SANTANDER,JORDAN,15,1325,"0,0113"
2019,3,SANTANDER,CHIMA,41,2865,"0,0143"
2019,1,SANTANDER,SANTA BARBARA,33,2425,"0,0136"
2019,4,SANTANDER,MOLAGAVITA,19,4105,"0,0046"
2019,1,SANTANDER,CHARALA,219,12256,"0,0179"
2020,1,SANTANDER,SURATA,26,3987,"0,0065"
2018,3,SANTANDER,CALIFORNIA,40,2130,"0,0188"
2019,4,SANTANDER,PALMAR,18,1386,"0,013"
2019,2,SANTANDER,CHARALA,217,12256,"0,0177"
2019,1,SANTANDER,LOS SANTOS,81,14485,"0,0056"
2019,4,SANTANDER,PARAMO,20,4773,"0,0042"
2018,3,SANTANDER,LA PAZ,46,4953,"0,0093"
2019,1,SANTANDER,VETAS,27,2142,"0,0126"
2018,3,SANTANDER,RIONEGRO,215,26438,"0,0081"
2019,3,SANTANDER,SUCRE,51,7103,"0,0072"
2019,3,SANTANDER,MOLAGAVITA,47,4105,"0,0114"
2020,1,SANTANDER,ALBANIA,8,4336,"0,0018"
2019,4,SANTANDER,EL PLAYON,85,13882,"0,0061"
2019,4,SANTANDER,ENCISO,16,3444,"0,0046"
2018,3,SANTANDER,SURATA,45,3975,"0,0113"
2019,3,SANTANDER,ARATOCA,265,8368,"0,0317"
2019,1,SANTANDER,SIMACOTA,88,10138,"0,0087"
2019,4,SANTANDER,SANTA BARBARA,18,2425,"0,0074"
2020,1,SANTANDER,CARCASI,22,4259,"0,0052"
2018,3,SANTANDER,JESUS MARIA,34,3342,"0,0102"
2019,1,SANTANDER,SURATA,42,3977,"0,0106"
2019,4,SANTANDER,PUENTE NACIONAL,88,14740,"0,006"
2019,1,SANTANDER,FLORIAN,71,5569,"0,0127"
2019,1,SANTANDER,LANDAZURI,166,10482,"0,0158"
2019,1,SANTANDER,COROMORO,51,5009,"0,0102"
2019,1,SANTANDER,PALMAS DEL SOCORRO,34,2584,"0,0132"
2018,3,SANTANDER,SANTA HELENA DEL OPON,30,3389,"0,0089"
2019,1,SANTANDER,CEPITA,32,2018,"0,0159"
2019,2,SANTANDER,SAN BENITO,43,2957,"0,0145"
2020,1,SANTANDER,PUERTO PARRA,52,8017,"0,0065"
2018,4,SANTANDER,CERRITO,103,6729,"0,0153"
2019,2,SANTANDER,LANDAZURI,183,10482,"0,0175"
2018,4,SANTANDER,ENCISO,49,3461,"0,0142"
2018,4,SANTANDER,BOLIVAR,88,11287,"0,0078"
2019,4,SANTANDER,ZAPATOCA,36,9507,"0,0038"
2019,4,SANTANDER,VILLANUEVA,117,7927,"0,0148"
2018,3,SANTANDER,MOGOTES,205,10527,"0,0195"
2019,1,SANTANDER,ENCINO,34,2567,"0,0132"
2019,4,SANTANDER,SAN MIGUEL,12,2494,"0,0048"
2020,1,SANTANDER,MOGOTES,38,10647,"0,0036"
2019,1,SANTANDER,MALAGA,1419,21339,"0,0665"
2018,4,SANTANDER,COROMORO,51,5015,"0,0102"
2019,2,SANTANDER,OIBA,112,11004,"0,0102"
2018,3,SANTANDER,CURITI,164,12717,"0,0129"
2018,4,SANTANDER,JESUS MARIA,33,3342,"0,0099"
2020,1,SANTANDER,EL GUACAMAYO,38,2085,"0,0182"
2020,1,SANTANDER,BUCARAMANGA,143558,607428,"0,2363"
2018,3,SANTANDER,PUERTO PARRA,118,7640,"0,0154"
2019,1,SANTANDER,AGUADA,27,1858,"0,0145"
2019,1,SANTANDER,TONA,78,7562,"0,0103"
2019,3,SANTANDER,CHARALA,211,12256,"0,0172"
2020,1,SANTANDER,BARICHARA,858,10815,"0,0793"
2018,3,SANTANDER,SABANA DE TORRES,1229,33055,"0,0372"
2020,1,SANTANDER,GUACA,28,5909,"0,0047"
2019,4,SANTANDER,VELEZ,572,24843,"0,023"
2019,1,SANTANDER,CALIFORNIA,43,2186,"0,0197"
2020,1,SANTANDER,CHARTA,31,2888,"0,0107"
2019,2,SANTANDER,BARBOSA,2178,31940,"0,0682"
2019,2,SANTANDER,PIEDECUESTA,30083,177586,"0,1694"
2020,1,SANTANDER,BARRANCABERMEJA,38706,210729,"0,1837"
2020,1,SANTANDER,BOLIVAR,54,10980,"0,0049"
2019,1,SANTANDER,CARCASI,38,4263,"0,0089"
2018,3,SANTANDER,VALLE DE SAN JOSE,64,6084,"0,0105"
2019,1,SANTANDER,RIONEGRO,244,26746,"0,0091"
2019,4,SANTANDER,GUAPOTA,19,2394,"0,0079"
2019,1,SANTANDER,EL GUACAMAYO,70,2119,"0,033"
2019,2,SANTANDER,SUCRE,72,7103,"0,0101"
2018,4,SANTANDER,VELEZ,515,24356,"0,0211"
2019,1,SANTANDER,GALAN,73,2883,"0,0253"
2019,3,SANTANDER,ALBANIA,26,4242,"0,0061"
2018,4,SANTANDER,SURATA,44,3975,"0,0111"
2019,1,SANTANDER,MOLAGAVITA,37,4105,"0,009"
2018,4,SANTANDER,LA BELLEZA,66,6198,"0,0106"
2018,4,SANTANDER,SAN VICENTE DE CHUCURI,915,33133,"0,0276"
2019,1,SANTANDER,CAPITANEJO,226,5479,"0,0412"
2019,1,SANTANDER,PARAMO,50,4773,"0,0105"
2018,4,SANTANDER,ENCINO,35,2552,"0,0137"
2018,3,SANTANDER,CONFINES,28,3159,"0,0089"
2020,1,SANTANDER,GUAVATA,18,4191,"0,0043"
2019,2,SANTANDER,EL PLAYON,467,13882,"0,0336"
2018,3,SANTANDER,BARRANCABERMEJA,33798,203537,"0,1661"
2018,4,SANTANDER,CHARTA,50,2888,"0,0173"
2019,4,SANTANDER,ENCINO,14,2567,"0,0055"
